;oset1;oset2;rus1;rus2;proximity;synonym
66;æнæзивæгæй;цингæнгæ;охотно с охотой;охотно с охотой;0.5370149612426758;1
67;æрбайсæфын;фæдæлдзæх уæвын;исчезнуть пропасть;исчезнуть пропасть;0.3916587233543396;1
68;æнгом уæвын;бадын;облегать обтягивать;облегать обтягивать;0.21843211352825165;1
69;кувæг лæг;хадзмæцæуæг;паломник странник;паломник странник;0.32183220982551575;1
70;бæрзонд нысан;хенагаипдзинад;идеал;идеал;0.15660418570041656;1
71;змæлын;сайын;шевелиться двигаться;ловчить изворачиваться;0.5866194367408752;1
72;маст;хæрам;желчь злоба;сердито гневно;0.5339431166648865;1
73;æнаэдзыкку;лæгуынсæр;лысый плешивый;лысый плешивый;0.3126777708530426;1
74;фезмæлынкæнын;фенкъуысын кæнын;двинуть;двинуть;0.6906561255455017;1
75;къæбæлдзыг;уылæнтæ;кудрявый курчавый;ходить;0.40860819816589355;1
76;хъуыррытт кæнын;хъуыртт казгнын;глотание проглатывание;глотание проглатывание;0.464016854763031;1
77;æнæфенд;вандап;невежда профан;варвар дикарь;0.2558772563934326;1
78;æлвасын;бадын;облегать обтягивать;облегать обтягивать;0.46572110056877136;1
79;цъæпп-цъаæпп кæнын;цъыбар-цъыбур кæнын;купаться полоскаться;тараторить трещать;0.6049292087554932;1
80;скъуыд;хуынкъ;дырявый худой;дырявый худой;0.4071207642555237;1
81;рахицæн кæнын;фæхицæн кæнын;устранение исключение;рассортировать разобрать;0.7990607619285583;1
82;карзæй;хъæбæрæй;требовательно взыскательно;грубо;0.38262590765953064;1
83;ныппырхкæнын;скалын;забрызгать обрызгать;забрызгать обрызгать;0.5186088681221008;1
84;хæст кæнын;хæцын;хвататься схватываться;хвататься схватываться;0.3610723614692688;1
85;бапырх кæнын;ныцъцъæпп кæнын;забрызгать обрызгать;забрызгать обрызгать;0.7444923520088196;1
86;сæрбæрзонддзинад;схъæлдзинад;гордость;гордость;0.9142376184463501;1
87;скæлæн кæнын;схин кæнын;заколдовать;заколдовать;0.8279723525047302;1
88;сфæдис кагнын;феххæлын;раскричаться разораться;раскричаться разораться;0.48527991771698;1
89;иугай;хицæн;единичный отдельный;единичный отдельный;0.28610435128211975;1
90;уæгъдæй;уæгъдибарæй;фамильярно бесцеремонно;фамильярно бесцеремонно;0.7181280851364136;1
91;уæздан;уæздан мыггагæй;деликатный тонкий;аристократический;0.8556050062179565;1
92;æнæрцавугæ;анæмбал;жественный единственный;жественный единственный;0.5615728497505188;1
93;æнæхъæн;иугонд;единый;объединение организация;0.014832757413387299;1
94;æнæрдзон;кæнгæ;неестественно ненатурально;неестественно ненатурально;0.09922289103269577;1
95;развдаугæ;фæлмæн;ласково мягко;ласковый мягкий;0.3734106719493866;1
96;ныззаууат уæвын дезинфекция;сæфын;деградировать прийти  в упадок;деградировать прийти  в упадок;0.3932076394557953;1
97;æнæфенгæ;аэмбисонд;чудо феномен;чудо феномен;0.326555460691452;1
98;анæрцæф;фыдбылызджын;удалой разудалый;удалой разудалый;0.5557650327682495;1
99;нымдгæнгæ;уæздан;почтительно уважительно;деликатный тонкий;0.2333732694387436;1
100;бустæ кæнын;хъаст хæссын;жаловаться;жаловаться;0.35249707102775574;1
101;гуыпп кæнын;хъæр кæнын;греметь грохотать;разглашать разбалтывать;0.8241188526153564;1
102;æдылыйау;хъæддаджы хуызæн;глупо неумно;глупо неумно;0.5437950491905212;1
103;хъазæнхъул;хынджылæггаг;по;по;0.5024148225784302;1
104;аргъгонд;аргълæвæрд;критика рас;критика рас;0.38444381952285767;1
105;развдауæг;фæлмæн;ласковый мягкий;ласковый мягкий;0.19349153339862823;1
106;æнæгъдау;хæлддзинад;разнузданный распоясавшийся;безнравственность аморальность;0.1661774069070816;1
107;ахсджиагдзинад;вазыгджындзинад;важность;важность;0.8469933271408081;1
108;æрæвæрын;амонын;поставить установить;констатитровать установить;0.3960789740085602;1
109;уынд;хуыз;цвет;цвет;0.18404220044612885;1
110;корто;сæр;голова;часть;0.015639452263712883;1
111;иртæстдзинад;хицæндзинад;обосновленность замкнутость;расхождение отсутствие единства;0.8459578156471252;1
112;аивдзинад;хæрзуынддзинад;чистота;красота;0.9359182119369507;1
113;бадомын;бацагурын;потребовать выполнения соблюдения чего-л;потребовать выполнения соблюдения чего-л;0.654183030128479;1
114;кæрæф;мæрддзæст;корыстный своекорыстный;скряга скупец;0.3720989227294922;1
115;бызгъуыртæ;бырæгътæ;лохмотья рубище;лохмотья рубище;0.4892849326133728;1
116;аргъуыд;чырыстон;христианин крещеный;христианин крещеный;0.5735630989074707;1
117;кацыфæнды;цавæрфæнды;любой;любой;0.8434802293777466;1
118;ныхмæвæрд;ныхмæвæрддзинад;антитеза противоположность;расхождение отсутствие единства;0.5484585165977478;1
119;удцырын;цыбæлдзинад;энтузиазм воодушевление;энтузиазм воодушевление;0.24125266075134277;1
120;адарддæр кæнын;афалдæр кæнын;отстранить отвести;отстранить отвести;0.6850578188896179;1
121;тырнындзинад;цыбæлдзинад;энтузиазм воодушевление;энтузиазм воодушевление;0.931739091873169;1
122;аппарын;фехсын;бросить кинуть;бросить кинуть;0.4324284493923187;1
123;исключительный;роскошный;изумительный несравненный;изумительный несравненный;0.5377860069274902;1
124;фæливæнтæ кæнын;хинæй архайын;хитрить пускаться на хитрости;хитрить пускаться на хитрости;0.321959912776947;1
125;ус;цардæмбал;хозяйка;жена;0.15275155007839203;1
126;ныхмæлæуд;ныхмæцыд;сопротивление отпор;сопротивление отпор;0.5070717930793762;1
127;æрдзыпаддзах;цæрæгуд;человек;человек;0.30112868547439575;1
128;тæф уадзын;хæрздæф кæнын;благоухать пахнуть;благоухать пахнуть;0.3642277419567108;1
129;аэвзар;тала;росток побег;росток побег;0.06276556104421616;1
130;хылкъах;хылкъахæг;скандалист дебориш;задиристый занозистый;0.20994876325130463;1
131;авдзенæй;чысылæй фæстæмæ;сызмала с детства;сызмала с детства;0.15873496234416962;1
132;ныффеæдискæнын;схъæр каæнын;крикнуть издать крик;крикнуть издать крик;0.6247097253799438;1
133;нымадыуын;хыгъдыцазуын;числиться;числиться;0.22041524946689606;1
134;барц;нагъ;загривок зашеина;загривок зашеина;-0.10902902483940125;1
135;бамбарæн;гæнæн;допустимый дозволенный;допустимый дозволенный;0.3280099332332611;1
136;тыхæвзарæн;фæлварæн;испытание проверка;испытание проверка;0.4897462725639343;1
137;æмбæлгæ;бæзгæ;должный соответствующий;нормальный соответствующий норме;0.2702488303184509;1
138;бонтæ хæй;царды дуг;жизнь;жизнь;0.32197490334510803;1
139;уый фæдыл;уымæ гæсгæ;поэтому потому;поэтому потому;0.1787608116865158;1
140;салбар;хæглаф;штаны портки;штаны портки;0.8063727617263794;1
141;кæрæф;хенæфсис;корыстный своекорыстный;жадность;0.22247068583965302;1
142;багæдыкæнын;фæаххосджын кæнын;уличить изобличить;уличить изобличить;0.6071258783340454;1
143;дарын;хæрын кæнын;ходить;кормить питать;0.44357454776763916;1
144;зæрдиаг;удлæууæн;любимый милый;возлюбленная любимая;0.4016117453575134;1
145;рæдæнг;уардихуыз;багрянец багрец;багрянец багрец;-0.05182543396949768;1
146;хуыцауыраттинаг;цæсгом;человек;честность;0.2676219642162323;1
147;банхъæлцау уæвын;басывæрджын уæвын;забеременеть зачать;забеременеть зачать;0.6953683495521545;1
148;æнæ бафидгæ;лæвар;бесплатно безвозмездно;плата вознаграждение;0.16798940300941467;1
149;уæгъдибарæй;уæлæнгай;фамильярно бесцеремонно;упрощенно элементарно;0.15576624870300293;1
150;кæрæф;олгъин;корыстный своекорыстный;жадность;0.23741917312145233;1
151;их кæнын;сийын;холодать леденить;холодеть леденеть;0.033891841769218445;1
152;хылкъахæг;хылмондаг;задиристый занозистый;задиристый занозистый;0.3634181022644043;1
153;гоймаг;хуыцауыраттинаг;человек;человек;0.2392687350511551;1
154;атрибут;бæрæггæнæн;качество свойство;этикетка ярлык;0.024495555087924004;1
155;кадджын;фæрныг;почтенный достойный уважения;почтенный достойный уважения;0.2751592993736267;1
156;истыне 'мбарын;нæзонынад;незнание неведение;незнание неведение;0.4936298727989197;1
157;зылын;къæдз;кривой искривленный;сгорбленный сутулый;0.02600712515413761;1
158;æрфыст;равдыст;изображение воспроизведение;трансляция передача;0.12664389610290527;1
159;бо-;роскошный;изумительный несравненный;изумительный несравненный;0.3960832357406616;1
160;æрдзыпаддзах;хуыцауыраттинаг;человек;человек;0.47694462537765503;1
161;æргом;æргомаæй;определенно ясно;определенно ясно;0.7354402542114258;1
162;æдзæлгъæд;хъомпал;беспорядочность бессистемность;переполох;0.4796507656574249;1
163;уæгъд кæнын;цух кæнын;увольнять сокращать;увольнять сокращать;0.6343099474906921;1
164;бæрзондмæ;уæларвмæ;вверх кверху;вверх кверху;0.29403170943260193;1
165;дзæгъæлмонц;тæргай;каприз прихоть;каприз прихоть;0.5044794678688049;1
166;фæраст кæнын;фервитын;послать выслать;послать выслать;0.4640684425830841;1
167;къахдзæфтæ каæнын;цазуын;идти ступать;идти ступать;0.03211866691708565;1
168;бæгънæгæй;гомгæрццæй;голышом нагишом;голышом нагишом;0.41536781191825867;1
169;æлгъиндзинад;мæрддзæстдзинад;скупость жадность;скупость жадность;0.9245203733444214;1
170;иугæйттæ;нымадæй;немногие единицы;численностью количеством;0.2760070562362671;1
171;аивын;фестын кæнын;превратиться обратиться;превратить обратить;0.28127744793891907;1
172;салд ‚ихын;уазал;холодный;холодный;0.4540680944919586;1
173;деххæссын;хæццæ кæнын;дотягиваться доставать;дотягиваться доставать;0.26457104086875916;1
174;æдылымитæ кæнын;фыдуагкæнын;шалить;шалить;0.7771493792533875;1
175;сфæлдыстадон  уæлмонц;уæлмонцад;вдохновение;вдохновение;0.4826872944831848;1
176;аивзæпынад;музыкалондзинад;благозвучие благозвучность;благозвучие благозвучность;0.4369933307170868;1
177;елхъивын;лæмарын;давить;давить;0.5933880805969238;1
178;æххæстдзинад;бæллицты арæн;идеал;идеал;0.23476916551589966;1
179;корто;къоппа;голова;голова;0.19393469393253326;1
180;æнæфæхицæнгæнгæ;æнæхъæн;единый;единый;0.2541825771331787;1
181;æвæрын;æфснайын;упаковывать паковать;упаковывать паковать;0.4527410566806793;1
182;фыдгуыбын;хæраг;обжора чревоугодник;обжора чревоугодник;0.44571641087532043;1
183;æнæбары;тыхарæзт;неестественно ненатурально;неестественно ненатурально;0.2593171298503876;1
184;æнæмаст;æнæхæрам;кроткий незлобивый;кроткий незлобивый;0.6049319505691528;1
185;диссаг;цымыдисаг;чудодейственный волшебный;интересный занимательный;0.3570234179496765;1
186;нана;стыр мад;бабушка бабка;бабушка бабка;0.3919530212879181;1
187;æнæфсисæй;кæрæфæй;жадно с жадностью;жадно с жадностью;0.6580634713172913;1
188;æнæфснайд;хылы-мылы;анархический беспорядочный;анархический беспорядочный;0.5903437733650208;1
189;размæцыд;цыд;развитой;шествие процессия;0.13513065874576569;1
190;дзырд;диалог;обещание слово;беседа разговор;0.27617865800857544;1
191;фидардзинад;хæрзхъæддзинад;доброкачественность добротность;доброкачественность добротность;0.8692440986633301;1
192;бæллицты арæн;бæрзонд нысан;идеал;идеал;0.3983190953731537;1
193;къæвда;уарын;дождь;дождь;0.5107212066650391;1
194;æмбарынгæнæн;амбарынкæнынад;комментарий пояснение;комментарий пояснение;0.4996921718120575;1
195;ныв;удыконд;характер;характер;0.26194387674331665;1
196;уымæл;уымæлад;сырость влажность;сырость влажность;0.768774151802063;1
197;мур кæнын;мургай кæнын;размельчать дробить;размельчать дробить;0.576961100101471;1
198;æппæлой;хиппæлой;хвастун самохвал;хвастун самохвал;0.4834858477115631;1
199;æнæмæтдзинад;æнæрхъуыдыдзинад;небрежность неаккуратность;небрежность неаккуратность;0.8899280428886414;1
200;фæйнæрдæм лазууын;цæуæн кæнын;расступаться раздаваться;расступаться раздаваться;0.31419187784194946;1
201;æмхæст;æнгом;единый;наглухо плотно;0.28697729110717773;1
202;лæгуынсæр;цæгæр;лысый плешивый;лысый плешивый;0.4005845785140991;1
203;æгæрондзинад;æнæаххæсгæ;безграничность беспредельность;безграничность беспредельность;0.26601842045783997;1
204;ахсджиаг;риссаг;любимый милый;актуальный злободневный;0.18973948061466217;1
205;дыкъахыг;цæрæг;человек;человек;0.37233421206474304;1
206;бырсæг;лæбурæг;завоеватель;завоеватель;0.5256174206733704;1
207;фенгæйæ у;фендзыстæм;по;по;-0.044937387108802795;1
208;кæсын;хизын;читать;оберегать;0.19921796023845673;1
209;алæуд;кæс;абзац отступ;абзац отступ;0.19206003844738007;1
210;раргом;сбæрæг;обнаружение открытие;обнаружение открытие;0.20539847016334534;1
211;сылбикъ;сылгоймаг;жена;жена;0.07695501297712326;1
212;æмбийынад;дембийын;гниение загнивание;гниение загнивание;0.6859422922134399;1
213;æнæмаæт;рæузæрдæ;беззаботный;беззаботный;0.2912253141403198;1
214;хæрзæгъдау;хæрзуагон;духовный нравственный;духовный нравственный;0.6277204155921936;1
215;змазлын;таæлфын;двигаться передвигаться;двигаться передвигаться;0.46837514638900757;1
216;райтынг уæвын;сырæзын;развиться сложиться;развиться сложиться;0.5897254347801208;1
217;арæхстджын;рæвдз;умелый искусный;ловкий проворный;0.16495952010154724;1
218;зæрдаэскъæфтæй;зæрдиагæй;вдохновенно увлеченно;старательно прилежно;0.35906460881233215;1
219;æнæдызæрдыг;бæрæггонд;убедительный веский;достоверный проверенный;0.15490832924842834;1
220;хохгæрдæг;хохкусæг;шахтер горняк;шахтер горняк;0.4472346305847168;1
221;æнæгъдау;хæлд;разнузданный распоясавшийся;распад распадение;0.2435082197189331;1
222;базæронд кæнын;баихсийын кæнын;износить сносить;износить сносить;0.730155348777771;1
223;æрхъуыдыдзинад;зæрдæргъæвддзинад;сообразительность догадливость;талантливость даровитость;0.7295879125595093;1
224;хæринаг дæттын;хæрын кæнын;кормить питать;кормить питать;0.4254380762577057;1
225;æмбисонды;замманай;жественный единственный;жественный единственный;0.08933426439762115;1
226;æцæгдзинад;цард;правда истина;жизнь;0.05949733778834343;1
227;æдылы;зондхъуаг;глупец болван;глупец болван;0.5041638016700745;1
228;номджын;уæздан мыггагæй;аристократический;аристократический;0.4167150557041168;1
229;азар;фыртас;жуть;жуть;0.12928470969200134;1
230;æрмæджыæхца;къухыæхца;наличность чистоган;наличность чистоган;0.4241769313812256;1
231;дзæгъæлдзырд;къæркъæр;болтовня трескотня;болтовня трескотня;0.666022002696991;1
232;тæрваз;фæлгæт;обрамление рамка;обрамление рамка;0.3311639726161957;1
233;сегасгæнæг;царддæттæг;живительный бодрящий;живительный бодрящий;0.21366940438747406;1
234;фæдæлдзæх уæвын;фесæфын;исчезнуть пропасть;пострадать;0.43143579363822937;1
235;кадкæнынад;табуказнынад;культ поклонение;культ поклонение;0.8083455562591553;1
236;иугонд;цæдис;объединение организация;объединение организация;0.2256610095500946;1
237;гæлирдзаст;зылындзаст;раскосый косоглазый;раскосый косоглазый;0.8039138913154602;1
238;æмгар;хæлар;ровесник сверстник;ласково мягко;0.3417610228061676;1
239;балхынцъ кæнын;сæххæстуæвын;увенчаться завершиться;увенчаться завершиться;0.38043007254600525;1
240;анæфæуддзинад;уæрæхдзинад;безграничность беспредельность;безграничность беспредельность;0.9461203217506409;1
241;сылыстæг;цардæмбал;жена;жена;0.21682678163051605;1
242;аххосджын кæнын;гæдыкæнын;уличать изобличать;уличать изобличать;0.6051579117774963;1
243;дæлимон;сайтан;дьявол сатана;дьявол сатана;0.15235114097595215;1
244;хъус дарын;цæст дарын;шпионить следить;шпионить следить;0.8582504391670227;1
245;æниалондзинад;стыр курдиатджындзинад;гениальность гений;гениальность гений;0.671683669090271;1
246;æнæдызæрдыгæй;æцæгдæр;конечно разумеется;конечно разумеется;0.21436099708080292;1
247;къахын;схъауын;красть воровать;ковырять расковыривать;0.4818643033504486;1
248;гомзæвæт;скъуыддзæваæт;бедняк;бедняк;0.21190816164016724;1
249;мыстахсæн;цъысым;ловушка западня;ловушка западня;0.3295620381832123;1
250;иргъæвд;хъахъхъæнынад;оборона защита;оборона защита;0.324873149394989;1
251;барæгбонхуызæй;кадджынæй;торжественно пышно;торжественно пышно;0.2450254261493683;1
252;æлхынцъгæнæг;кæронгæнæг;заключительный завершающий;заключительный завершающий;0.8536001443862915;1
253;æнæхиндзинад;æргомзæрдæдзинад;откровенность искренность;откровенность искренность;0.9428442716598511;1
254;æргомаæй;бæлвырд;определенно ясно;фактический реальный;0.1683989316225052;1
255;аскъæрын;атъæбæртт кæнын;убежать спастись бегством;убежать спастись бегством;0.6238282322883606;1
256;бакуыст;дзаума;изделие вещь;изделие вещь;0.22253793478012085;1
257;гаги;саби;чадо ребенок;чадо ребенок;0.07999243587255478;1
258;нывæфтыдгонд;фæлгонцгонд;раскрашенный;раскрашенный;0.8215112686157227;1
259;зондахаст;ныв;характер;характер;0.16302542388439178;1
260;хæрзаудæнгæнæг;цæстуарзон;доброжелатель благожелатель;доброжелатель благожелатель;0.27453452348709106;1
261;мил;нысан;цель;этикетка ярлык;-0.07513640075922012;1
262;рахицæн уæвын;фæхицæн уæвын;разделиться распасться;разминуться разойтись;0.7842860221862793;1
263;кæнын;ласын;черпать;перевещивать перетягивать;0.22528958320617676;1
264;акъуырын;фæлыг кæнын;отрубить отсечь;отрубить отсечь;0.3893417418003082;1
265;балхæнын;фæхæлоф кæнын;купить приобрести;купить приобрести;0.46178922057151794;1
266;æнæрæдыд;æнæсайд;правильный верный;честно;0.6766547560691833;1
267;катай;тыхстдзинад;тревога беспокойство;напряженность драматичность;0.17673048377037048;1
268;сасиры хуызæн;скъуыд;дырявый худой;дырявый худой;0.3180769085884094;1
269;саразын;скæнын;украситься разукраситься;обзавестись завести что;0.33997398614883423;1
270;радзурын;фехъусынкæнын;рассказать изложить;рассказать изложить;0.4061361849308014;1
271;æвзаргæ;хорззæрдæ;хороший неплохой;хороший неплохой;0.40284425020217896;1
272;хылкъахæг;хылычъи;задиристый занозистый;задиристый занозистый;0.3377501964569092;1
273;бараст кæнын;раст кæнын;исправлять;исправлять;0.7759331464767456;1
274;æлгъагдзинад;цъаммардзинад;мерзость гнусность;мерзость гнусность;0.9665958285331726;1
275;æнкъараг;знæт;эмоциональный экспансивный;эмоциональный экспансивный;0.294312983751297;1
276;мыдхуыз;сыгъзæринхуыз;желтый;желтый;0.726575493812561;1
277;хизын;хъахъхъæнын;оберегать;щадить жалеть;0.062096595764160156;1
278;роль;хæстæ;обязанность функция;обязанность функция;-0.02293212153017521;1
279;золотой;упоительный;изумительный несравненный;изумительный несравненный;0.7703951001167297;1
280;æххормаг;стонг;голод голодание;голод голодание;0.5952197909355164;1
281;аив кæсын;аргъауын;читать;читать;0.14253640174865723;1
282;æнкъард кæнын;тыхсын;горевать грустить;унывать приходить в уныние;0.5038284063339233;1
283;абетæ;дамгъуат;азбука алфавит;азбука алфавит;0.6069387793540955;1
284;анæмбал;диссаджы;жественный единственный;сенсационный громкий;0.2631639242172241;1
285;дзæнгæда;къæркъæр;вздор абсурд;болтовня трескотня;0.1119370311498642;1
286;аппарат;кусджытыкъорд;аппарат;аппарат;0.3085162043571472;1
287;сдæрзæг уæвын;схъæбæрзæрдæ уæвын;загрубеть;загрубеть;0.8787206411361694;1
288;ахуырст;буар и;цвет;цвет;0.11014845967292786;1
289;аирвæзын;суæгъд уæвын;избавиться освободиться;избавиться освободиться;0.4084866940975189;1
290;гуырысхо;дызæрдыг;сомнение подозрение;сомнение подозрение;0.2516600787639618;1
291;зæрдæргъæвддзинад;курдиатдзинад;талантливость даровитость;талантливость даровитость;0.8135120868682861;1
292;æнæрцæф;сахъ;бедовый;юноша молодой человек;0.6085560321807861;1
293;ницызонæг;ницыфенаæг;невежда профан;невежда профан;0.8989366888999939;1
294;лæвар кæнын;нæ ауæрдын;жертвовать;жертвовать;0.2035219818353653;1
295;æнæзынгæйæ;сабыргай;постепенно понемногу;постепенно понемногу;0.34308087825775146;1
296;ахицæн кæнын;ацух кæнын;устранить исключить;устранить исключить;0.5554714798927307;1
297;хæрд - минас;цæл;кутеж попойка;кутеж попойка;0.39837655425071716;1
298;дзуапп дæттын;дзуапп кæнын;отчитываться давать отчет;отчитываться давать отчет;0.7242083549499512;1
299;алыхаттон;иугъадон;постоянный;постоянный;0.3197129964828491;1
300;барвæндонæй;бархийæ;добровольно по собственному желанию;добровольно по собственному желанию;0.36192357540130615;1
301;анæсаст заæхх;нæуу;целина новь;целина новь;-0.28364455699920654;1
302;аæнæфенгæ;замманай;жественный единственный;жественный единственный;0.0628918707370758;1
303;æнгомдзинад;иудзинад;сплоченность монолитность;цельность единство;0.8639747500419617;1
304;уромын;хæцын;держать удерживать;хвататься схватываться;0.4434618353843689;1
305;уарзон;удлæууæн;любимый милый;возлюбленная любимая;0.4095897972583771;1
306;ранывæндын;рахабар кæнын;рассказать изложить;рассказать изложить;0.44219231605529785;1
307;бырст;лæбурд;атака штурм;атака штурм;0.6459717154502869;1
308;зæрдæсаст;лæмæгъдзинад;безволие слабоволие;непрочность ненадежность;0.29831254482269287;1
309;æнæфснайддзинад;æнæхъоладзинад;небрежность неаккуратность;небрежность неаккуратность;0.955256462097168;1
310;абон;ныртæккæ;теперь сейчас;теперь сейчас;0.31760886311531067;1
311;райдайæн;хай;часть;часть;0.12492033839225769;1
312;пысылмон;растдингæнæг;мусульманин магометанин;мусульманин магометанин;0.18241852521896362;1
313;æнæразыйаæ;мæстыйæ;недовольно досадливо;сердито гневно;0.5433990359306335;1
314;фæливгæйæ;хинæйдзагæй;хитро лукаво;хитро лукаво;0.3534255027770996;1
315;хуымæтæг;хуымæтæджы;упрощенно элементарно;непринужденный естественный;0.5319373607635498;1
